"Time","Wattage","Temperature"
2024-02-24 17:27:43.918,9.89,40
2024-02-24 17:27:44.012,10.4,40
2024-02-24 17:27:44.118,10.5,40
2024-02-24 17:27:44.231,10.6,40
2024-02-24 17:27:44.277,10.3,40
2024-02-24 17:27:44.323,10.1,40
2024-02-24 17:27:44.368,10.2,40
2024-02-24 17:27:44.458,9.86,40
2024-02-24 17:27:44.491,10.3,40
2024-02-24 17:27:44.502,9.75,40
2024-02-24 17:27:44.559,10.3,40
2024-02-24 17:27:44.639,10.4,40
2024-02-24 17:27:44.683,9.84,40
2024-02-24 17:27:44.727,10.3,40
2024-02-24 17:27:43.063,10.2,40
2024-02-24 17:27:43.557,9.95,40
2024-02-24 17:27:43.830,9.97,40
2024-02-24 17:27:44.012,10.4,40
2024-02-24 17:27:44.231,10.6,40
2024-02-24 17:27:44.323,10.1,40
2024-02-24 17:27:44.458,9.86,40
2024-02-24 17:27:44.502,9.75,40
2024-02-24 17:27:44.639,10.4,40
2024-02-24 17:27:44.727,10.3,40
2024-02-24 17:27:44.774,9.92,40
2024-02-24 17:27:44.819,9.91,40
2024-02-24 17:27:44.865,10.0,40
2024-02-24 17:27:44.911,10.3,40
2024-02-24 17:27:44.953,10.1,40
2024-02-24 17:27:45.021,9.85,40
2024-02-24 17:27:45.088,9.94,40
2024-02-24 17:27:45.134,1.86,40
2024-02-24 17:27:45.178,0,40
2024-02-24 17:27:45.223,0,40
2024-02-24 17:27:43.557,9.95,40
2024-02-24 17:27:44.012,10.4,40
2024-02-24 17:27:44.323,10.1,40
2024-02-24 17:27:44.502,9.75,40
2024-02-24 17:27:44.727,10.3,40
2024-02-24 17:27:44.819,9.91,40
2024-02-24 17:27:44.911,10.3,40
2024-02-24 17:27:45.021,9.85,40
2024-02-24 17:27:45.134,1.86,40
2024-02-24 17:27:45.223,0,40
2024-02-24 17:27:45.270,0,40
2024-02-24 17:27:45.317,0,40
2024-02-24 17:27:45.362,0,40
2024-02-24 17:27:45.402,0,40
2024-02-24 17:27:45.470,0,40
2024-02-24 17:27:45.541,0,40
2024-02-24 17:27:45.584,0,40
2024-02-24 17:27:45.629,0,40
2024-02-24 17:27:45.674,0,40
2024-02-24 17:27:45.720,0,40
2024-02-24 17:27:44.012,10.4,40
2024-02-24 17:27:44.502,9.75,40
2024-02-24 17:27:44.819,9.91,40
2024-02-24 17:27:45.021,9.85,40
2024-02-24 17:27:45.223,0,40
2024-02-24 17:27:45.317,0,40
2024-02-24 17:27:45.402,0,40
2024-02-24 17:27:45.541,0,40
2024-02-24 17:27:45.629,0,40
2024-02-24 17:27:45.720,0,40
2024-02-24 17:27:45.767,0,40
2024-02-24 17:27:45.811,0,40
2024-02-24 17:27:45.853,0,40
2024-02-24 17:27:45.920,0,40
2024-02-24 17:27:45.988,0,40
2024-02-24 17:27:46.035,0,40
2024-02-24 17:27:46.079,0,40
2024-02-24 17:27:46.124,0,40
2024-02-24 17:27:46.169,0,40
2024-02-24 17:27:46.215,0,40
2024-02-24 17:27:44.502,9.75,40
2024-02-24 17:27:45.021,9.85,40
2024-02-24 17:27:45.317,0,40
2024-02-24 17:27:45.541,0,40
2024-02-24 17:27:45.720,0,40
2024-02-24 17:27:45.811,0,40
2024-02-24 17:27:45.920,0,40
2024-02-24 17:27:46.035,0,40
2024-02-24 17:27:46.124,0,40
2024-02-24 17:27:46.215,0,40
2024-02-24 17:27:46.259,0,40
2024-02-24 17:27:46.305,0,40
2024-02-24 17:27:46.369,0,40
2024-02-24 17:27:46.439,0,40
2024-02-24 17:27:46.481,0,40
2024-02-24 17:27:46.527,0,40
2024-02-24 17:27:46.574,0,40
2024-02-24 17:27:46.621,0,40
2024-02-24 17:27:46.666,0,40
2024-02-24 17:27:46.712,0,40
2024-02-24 17:27:45.021,9.85,40
2024-02-24 17:27:45.541,0,40
2024-02-24 17:27:45.811,0,40
2024-02-24 17:27:46.035,0,40
2024-02-24 17:27:46.215,0,40
2024-02-24 17:27:46.305,0,40
2024-02-24 17:27:46.439,0,40
2024-02-24 17:27:46.527,0,40
2024-02-24 17:27:46.621,0,40
2024-02-24 17:27:46.712,0,40
2024-02-24 17:27:46.755,0,40
2024-02-24 17:27:46.807,0,40
2024-02-24 17:27:46.887,0,40
2024-02-24 17:27:46.935,0,40
2024-02-24 17:27:46.980,0,40
2024-02-24 17:27:47.026,0,40
2024-02-24 17:27:47.070,0,40
2024-02-24 17:27:47.117,0,40
2024-02-24 17:27:47.161,0,40
2024-02-24 17:27:47.205,0,40
2024-02-24 17:27:45.541,0,40
2024-02-24 17:27:46.035,0,40
2024-02-24 17:27:46.305,0,40
2024-02-24 17:27:46.527,0,40
2024-02-24 17:27:46.712,0,40
2024-02-24 17:27:46.807,0,40
2024-02-24 17:27:46.935,0,40
2024-02-24 17:27:47.026,0,40
2024-02-24 17:27:47.117,0,40
2024-02-24 17:27:47.205,0,40
2024-02-24 17:27:47.269,0,40
2024-02-24 17:27:47.340,0,40
2024-02-24 17:27:47.427,0,40
2024-02-24 17:27:47.472,0,40
2024-02-24 17:27:47.484,0,40
2024-02-24 17:27:47.519,0,40
2024-02-24 17:27:47.563,0,40
2024-02-24 17:27:47.609,0,40
2024-02-24 17:27:47.654,0,40
2024-02-24 17:27:47.719,0,40
2024-02-24 17:27:46.035,0,40
2024-02-24 17:27:46.527,0,40
2024-02-24 17:27:46.807,0,40
2024-02-24 17:27:47.026,0,40
2024-02-24 17:27:47.205,0,40
2024-02-24 17:27:47.340,0,40
2024-02-24 17:27:47.472,0,40
2024-02-24 17:27:47.519,0,40
2024-02-24 17:27:47.609,0,40
2024-02-24 17:27:47.719,0,40
2024-02-24 17:27:47.790,0,40
2024-02-24 17:27:47.835,0,40
2024-02-24 17:27:47.880,0,40
2024-02-24 17:27:47.936,0,40
2024-02-24 17:27:47.970,0,40
2024-02-24 17:27:48.014,0,40
2024-02-24 17:27:48.061,0,40
2024-02-24 17:27:48.105,0,40
2024-02-24 17:27:48.168,0,40
2024-02-24 17:27:46.527,0,40
2024-02-24 17:27:47.026,0,40
2024-02-24 17:27:47.340,0,40
2024-02-24 17:27:47.519,0,40
2024-02-24 17:27:47.719,0,40
2024-02-24 17:27:47.835,0,40
2024-02-24 17:27:47.936,0,40
2024-02-24 17:27:48.014,0,40
2024-02-24 17:27:48.105,0,40
2024-02-24 17:27:48.237,0,40
2024-02-24 17:27:48.282,0,40
2024-02-24 17:27:48.329,0,40
2024-02-24 17:27:48.376,0,40
2024-02-24 17:27:48.418,0,40
2024-02-24 17:27:48.462,0,40
2024-02-24 17:27:48.553,0,40
2024-02-24 17:27:48.575,0,40
2024-02-24 17:27:48.620,0,40
2024-02-24 17:27:48.687,0,40
2024-02-24 17:27:48.731,0,40
2024-02-24 17:27:47.026,0,40
2024-02-24 17:27:47.519,0,40
2024-02-24 17:27:47.835,0,40
2024-02-24 17:27:48.014,0,40
2024-02-24 17:27:48.237,0,40
2024-02-24 17:27:48.329,0,40
2024-02-24 17:27:48.418,0,40
2024-02-24 17:27:48.553,0,40
2024-02-24 17:27:48.620,0,40
2024-02-24 17:27:48.731,0,40
2024-02-24 17:27:48.778,0,40
2024-02-24 17:27:48.824,0,40
2024-02-24 17:27:48.868,0,40
2024-02-24 17:27:48.913,0,40
2024-02-24 17:27:48.958,0,40
2024-02-24 17:27:49.003,0,40
2024-02-24 17:27:49.058,0,40
2024-02-24 17:27:49.138,0,40
2024-02-24 17:27:49.180,0,40
2024-02-24 17:27:47.519,0,40
2024-02-24 17:27:48.014,0,40
2024-02-24 17:27:48.329,0,40
2024-02-24 17:27:48.553,0,40
2024-02-24 17:27:48.731,0,40
2024-02-24 17:27:48.824,0,40
2024-02-24 17:27:48.913,0,40
2024-02-24 17:27:49.003,0,40
2024-02-24 17:27:49.138,0,40
