Time,Wattage
2024-02-24 17:50:23.5090,1.73
2024-02-24 17:50:23.5480,1.03
2024-02-24 17:50:23.6190,1.49
2024-02-24 17:50:23.6840,1.3
2024-02-24 17:50:23.7300,1.01
2024-02-24 17:50:23.7790,1.76
2024-02-24 17:50:23.8190,1.48
2024-02-24 17:50:23.8640,1.55
2024-02-24 17:50:23.9120,0.737
2024-02-24 17:50:23.9560,1.64
2024-02-24 17:50:24.0000,1.35
2024-02-24 17:50:24.0580,1.42
2024-02-24 17:50:24.1800,1.28
2024-02-24 17:50:24.2030,1.42
2024-02-24 17:50:24.2280,1.24
2024-02-24 17:50:24.2690,1.77
2024-02-24 17:50:24.3200,1.4
2024-02-24 17:50:24.3660,1.63
2024-02-24 17:50:24.4100,1.38
2024-02-24 17:50:24.4490,1.08
2024-02-24 17:50:24.5200,1.63
2024-02-24 17:50:24.5880,1.22
2024-02-24 17:50:24.6310,1.49
2024-02-24 17:50:24.6790,1.07
2024-02-24 17:50:24.7650,1.6
2024-02-24 17:50:24.7880,1.25
2024-02-24 17:50:24.8530,1.6
2024-02-24 17:50:24.8980,1.46
2024-02-24 17:50:24.9090,1.32
2024-02-24 17:50:24.9680,1.36
2024-02-24 17:50:25.0350,1.19
2024-02-24 17:50:25.1300,1.49
2024-02-24 17:50:25.1710,1.69
2024-02-24 17:50:25.2170,1.34
2024-02-24 17:50:25.2640,1.32
2024-02-24 17:50:25.3090,1.41
2024-02-24 17:50:25.3480,1.55
2024-02-24 17:50:25.4200,1.25
2024-02-24 17:50:25.4840,1.55
2024-02-24 17:50:25.5310,1.24
2024-02-24 17:50:25.5780,1.31
2024-02-24 17:50:25.6180,1.33
2024-02-24 17:50:25.7120,1.28
2024-02-24 17:50:25.7590,1.56
2024-02-24 17:50:25.8000,1.28
2024-02-24 17:50:25.8700,1.15
2024-02-24 17:50:25.9580,1.42
2024-02-24 17:50:26.0270,1.5
2024-02-24 17:50:26.0490,1.55
2024-02-24 17:50:26.0720,0.94
2024-02-24 17:50:26.1150,1.48
2024-02-24 17:50:26.1620,1.53
2024-02-24 17:50:26.2490,1.21
2024-02-24 17:50:26.3200,1.39
2024-02-24 17:50:26.3830,1.31
2024-02-24 17:50:26.4300,1.34
2024-02-24 17:50:26.5190,1.22
2024-02-24 17:50:26.5420,1.38
2024-02-24 17:50:26.6130,1.34
2024-02-24 17:50:26.6470,1.29
2024-02-24 17:50:26.7030,1.53
2024-02-24 17:50:26.7260,1.03
2024-02-24 17:50:26.7710,1.56
2024-02-24 17:50:26.8330,1.12
2024-02-24 17:50:26.8810,1.75
2024-02-24 17:50:26.9250,1.06
2024-02-24 17:50:26.9680,1.62
2024-02-24 17:50:27.0150,1.11
2024-02-24 17:50:27.1050,1.18
2024-02-24 17:50:27.1270,1.38
2024-02-24 17:50:27.2040,1.2
2024-02-24 17:50:27.2250,1.43
2024-02-24 17:50:27.2940,1.36
2024-02-24 17:50:27.3310,1.82
2024-02-24 17:50:27.3760,1.08
2024-02-24 17:50:27.4190,1.62
2024-02-24 17:50:27.4640,1.14
2024-02-24 17:50:27.5130,1.38
2024-02-24 17:50:27.5590,1.26
2024-02-24 17:50:27.5990,1.47
2024-02-24 17:50:27.6670,1.32
2024-02-24 17:50:27.8020,1.26
2024-02-24 17:50:27.8480,1.33
2024-02-24 17:50:27.8690,1.81
2024-02-24 17:50:27.9140,1.09
2024-02-24 17:50:27.9610,1.7
2024-02-24 17:50:28.0050,1.24
2024-02-24 17:50:28.0500,1.48
2024-02-24 17:50:28.1180,1.41
2024-02-24 17:50:28.1840,1.67
2024-02-24 17:50:28.2310,1.27
2024-02-24 17:50:28.2780,1.55
2024-02-24 17:50:28.3640,1.47
2024-02-24 17:50:28.3870,1.34
2024-02-24 17:50:28.4190,1.37
2024-02-24 17:50:28.4760,0.94
2024-02-24 17:50:28.4990,1.57
2024-02-24 17:50:28.5590,1.16
2024-02-24 17:50:28.6360,1.49
2024-02-24 17:50:28.6800,1.06
2024-02-24 17:50:28.7280,1.28
2024-02-24 17:50:28.7690,1.27
2024-02-24 17:50:28.8140,1.36
2024-02-24 17:50:28.8640,1.41
2024-02-24 17:50:28.9500,1.42
2024-02-24 17:50:28.9750,1.33
2024-02-24 17:50:29.0600,1.42
2024-02-24 17:50:29.0930,1.46
2024-02-24 17:50:29.1300,1.48
2024-02-24 17:50:29.1750,1.47
2024-02-24 17:50:29.2190,1.16
2024-02-24 17:50:29.2650,1.69
2024-02-24 17:50:29.3130,1.16
2024-02-24 17:50:29.3550,1.52
2024-02-24 17:50:29.4470,1.26
2024-02-24 17:50:29.5340,1.47
2024-02-24 17:50:29.6260,1.14
2024-02-24 17:50:29.6690,1.14
2024-02-24 17:50:29.6920,1.27
2024-02-24 17:50:29.7140,1.15
2024-02-24 17:50:29.7620,1.54
2024-02-24 17:50:29.8090,1.61
2024-02-24 17:50:29.8480,1.38
2024-02-24 17:50:29.9400,1.29
2024-02-24 17:50:29.9850,1.59
2024-02-24 17:50:30.0310,1.56
2024-02-24 17:50:30.1640,1.09
2024-02-24 17:50:30.1870,1.4
2024-02-24 17:50:30.1980,1.25
2024-02-24 17:50:30.2530,1.37
2024-02-24 17:50:30.3000,1.13
2024-02-24 17:50:30.3130,1.76
2024-02-24 17:50:30.3690,1.26
2024-02-24 17:50:30.4340,1.38
2024-02-24 17:50:30.4800,1.35
2024-02-24 17:50:30.5280,1.49
2024-02-24 17:50:30.5690,1.08
2024-02-24 17:50:30.6140,1.1
2024-02-24 17:50:30.6620,1.59
2024-02-24 17:50:30.7090,1.48
2024-02-24 17:50:30.7480,1.55
2024-02-24 17:50:30.8200,0.695
2024-02-24 17:50:30.8860,1.61
2024-02-24 17:50:30.9310,1.4
2024-02-24 17:50:30.9780,1.36
2024-02-24 17:50:31.0180,1.14
2024-02-24 17:50:31.0640,1.16
2024-02-24 17:50:31.1120,1.5
2024-02-24 17:50:31.1580,1.36
2024-02-24 17:50:31.2000,1.61
2024-02-24 17:50:31.2580,1.31
2024-02-24 17:50:31.3460,1.65
2024-02-24 17:50:31.3800,1.15
2024-02-24 17:50:31.4260,1.69
2024-02-24 17:50:31.4680,1.06
2024-02-24 17:50:31.5150,1.42
2024-02-24 17:50:31.5620,1.29
2024-02-24 17:50:31.6090,1.51
2024-02-24 17:50:31.6500,1.36
2024-02-24 17:50:31.7190,1.44
2024-02-24 17:50:31.7830,1.36
2024-02-24 17:50:31.8310,1.27
2024-02-24 17:50:31.9190,1.52
2024-02-24 17:50:31.9420,0.908
2024-02-24 17:50:32.0130,1.68
2024-02-24 17:50:32.0590,1.24
2024-02-24 17:50:32.1030,1.56
2024-02-24 17:50:32.1260,1.28
2024-02-24 17:50:32.1700,1.43
2024-02-24 17:50:32.2370,1.21
2024-02-24 17:50:32.2800,1.52
